product,NBD,NBFD,NBMD,NBD-LOC,NBFD-LOC,NBMD-LOC,PBD,PBFD,PBMD,PBD-LOC,PBFD-LOC,PBMD-LOC
opendatacube/datacube-explorer,53,2709,57459,721707,1150119,1022447,61.627906976744185,88.50049003593597,96.39801362278965,47.74400675302887,76.08529403592706,94.29262570388829
gcovr/gcovr,0,328,1944,0,122699,26193,0.0,91.87675070028011,95.85798816568047,0.0,88.50762095058103,93.31979478409576
pydanny/cached-property,11,388,9709,157764,185060,123437,91.66666666666666,99.74293059125964,99.96911037891269,85.13885441063776,99.86940238097807,99.98299016669637
pydanny/cookiecutter-django,63,1209,18060,298511,389465,246038,91.30434782608695,98.05352798053528,99.51509808243333,73.75577238102534,96.22858752399755,99.28213157289451
cedadev/cf-checker,4,250,4010,5350,111947,101706,66.66666666666666,95.41984732824427,98.76847290640394,3.7638153127484295,78.75660426471933,97.84785892267878
cedadev/cis,22,1688,30100,179196,755454,616405,59.45945945945946,91.19394921663965,96.30151011005886,18.540637183084602,78.16356683469495,93.74781373476459
dbt-labs/dbt,19,988,13773,81791,293360,246519,42.22222222222222,88.68940754039497,97.54940151568809,23.44024944545387,84.07320582115815,96.5790535590458
thiefmaster/maildump,14,717,13608,87161,219599,157352,56.00000000000001,90.64475347661188,97.61136216914139,32.216583440215565,81.16852155078416,95.47131346471215
dicompyler/dicompyler-core,9,850,14380,130942,465956,265325,64.28571428571429,92.89617486338798,97.7034923223264,23.77987875970231,84.62049752833964,95.0488274952892
scikit-build/scikit-build,0,99,1810,0,32176,25215,0.0,85.34482758620689,94.12376495059802,0.0,81.06419429607982,92.85240830755635
h2non/pook,4,52,721,7097,10154,9664,44.44444444444444,86.66666666666667,91.73027989821882,43.21904877900249,61.83545460081603,88.74196510560147
python-visualization/folium,4,313,5418,16470,143829,127973,44.44444444444444,90.98837209302324,97.90386700397542,9.003739257833855,78.62773610898515,97.01097668213106
python-visualization/branca,1,23,776,367,10313,9920,50.0,85.18518518518519,97.48743718592965,2.5136986301369864,70.63698630136986,95.61445783132531
rwth-ebc/teaser,10,516,11129,45893,194898,228274,71.42857142857143,80.248833592535,91.31112569740728,13.031009446793288,55.3399794992944,86.11805893515321
instaloader/instaloader,2,53,762,4727,24977,19557,40.0,72.6027397260274,86.39455782312925,14.449471174420736,76.34957510545944,88.1462117456168
bccp/nbodykit,0,1175,17476,0,456260,426776,0.0,90.80370942812984,95.32536955217368,0.0,72.39062314069255,92.65774195929603
lra/mackup,1,19,76,998,1489,460,50.0,95.0,73.07692307692307,48.25918762088975,72.00193423597679,56.303549571603426
juliotrigo/sqlalchemy-filters,3,250,10404,4142,219988,148216,75.0,97.65625,99.86561720099827,1.7958645687453663,95.38113344982028,99.77986172354133
googleapis/google-api-python-client,14,499,4261,122637,133045,68936,77.77777777777779,98.03536345776031,98.9319712096587,89.34844853085818,96.93130405006666,98.51940776310524
googleapis/google-auth-library-python,0,192,1244,0,35702,14682,0.0,86.48648648648648,89.68997837058399,0.0,68.44971049503432,85.1772350176945
opentok/opentok-python-sdk,4,133,2626,18823,45533,42039,36.36363636363637,77.77777777777779,94.46043165467626,27.106464480638238,65.5707723103066,93.66143837447642
newrelic/newrelic-python-agent,6,96,1358,28807,39729,27820,75.0,96.96969696969697,98.40579710144928,69.95216240499259,96.4741021344795,98.67347662623254
rasbt/mlxtend,8,1727,29849,125141,810042,659870,38.095238095238095,89.34299017071909,94.63855421686746,11.730865315481262,75.9342949303831,91.10300533471764
aamalev/aiohttp_apiset,7,124,2502,16408,44186,38426,50.0,86.7132867132867,98.89328063241106,29.090135451386427,78.33841571519751,97.60967307643458
totalopenstation/totalopenstation,0,27,509,0,7256,6183,0.0,84.375,97.32313575525812,0.0,71.74923365964601,93.92374297432782
anaconda-platform/anaconda-client,4,103,1673,18739,39126,33549,40.0,79.23076923076923,95.6,35.89296659515783,74.94253754213914,95.09623288641968
syncplay/syncplay,10,756,15528,79288,228039,180718,50.0,86.69724770642202,96.29170284013394,25.3190911848765,72.81984959524837,95.21395981075015
kieranwynn/pyquaternion,0,222,3703,0,104735,94394,0.0,93.27731092436974,97.96296296296296,0.0,78.16919804455723,96.09879258037587
pelican-plugins/image-process,16,987,7957,289940,318387,114339,88.88888888888889,99.19597989949749,99.49981242966113,88.42276045891761,97.09821837012278,98.83136976947213
aschn/drf-tracking,36,1571,17292,181158,343241,221851,90.0,98.31038798498123,99.42502299908004,49.93604939632835,94.61409118474006,99.2013843863046
pygithub/pygithub,5,200,3755,41486,69440,52304,41.66666666666667,87.71929824561403,97.38070539419087,51.483600352440405,86.17416016182476,96.08876968015726
django-es/django-elasticsearch-dsl,3,166,2159,19392,50291,38575,50.0,92.22222222222223,97.95825771324864,33.00597416302146,85.59733120010893,97.79191806520306
sabnzbd/sabnzbd,15,399,8240,62697,141677,95244,51.724137931034484,75.56818181818183,95.80281362632252,32.83665730925546,74.20130305442662,92.45913097503204
ctpug/wafer,19,1486,19050,119359,297117,247538,46.34146341463415,88.18991097922849,95.38353695173242,30.49446618907954,75.90901658610365,93.27505322456055
gosecure/malboxes,6,205,4701,30091,78043,61341,54.54545454545454,91.92825112107623,98.03962460896769,33.99728844198396,88.17421760253079,97.7748378150055
pynbody/pynbody,9,1359,24925,130486,647232,483664,52.94117647058824,93.14599040438657,97.16212528749074,16.92963393036698,83.97376598270527,94.34272149367914
cellprofiler/python-bioformats,1,225,1853,40304,40304,23717,100.0,100.0,100.0,100.0,100.0,100.0
bear/python-twitter,2,343,2949,4727,64245,50879,25.0,90.02624671916011,92.67756128221244,5.481723722052139,74.50250487058169,91.6425007655037
aruhier/virt-backup,2,77,1450,3929,21958,21447,25.0,81.05263157894737,95.83608724388631,9.985005972197515,55.803197031690765,90.92335085636765
golemfactory/clay,5,151,2959,29226,55143,38712,83.33333333333334,98.05194805194806,98.89705882352942,51.48685786766261,97.14431682052005,98.73747034968245
pydicom/pynetdicom,0,49,610,0,105798,15650,0.0,72.05882352941177,82.99319727891157,0.0,86.65503599773939,77.30685635249951
bobbuildtool/bob,6,30,596,12851,12851,9378,100.0,100.0,100.0,100.0,100.0,100.0
asdf-format/asdf,3,300,5424,496,112272,113685,23.076923076923077,84.98583569405099,96.39239381553224,0.30337133630180557,68.6695698977345,95.46061415220294
kipe/enocean,1,38,872,3915,13369,12624,33.33333333333333,84.44444444444444,97.64837625979843,20.21062412885241,69.01553869185896,94.46273570787189
a10networks/acos-client,3,67,957,16103,28437,22483,42.857142857142854,84.81012658227847,96.96048632218846,47.05590134712603,83.098097659332,97.8713216089152
coala/coala,5,459,3637,20044,165628,57397,29.411764705882355,88.95348837209302,95.08496732026144,10.609220346159953,87.66633144550892,93.8488202881015
colinduquesnoy/qdarkstylesheet,1,79,287,4063,6618,3178,50.0,98.75,98.9655172413793,58.858467333043606,95.87136027813995,97.24602203182374
sorgerlab/indra,31,3250,45084,357349,1377038,876567,60.78431372549019,95.14051522248243,98.06838945445054,23.481485813489392,90.48548690953606,96.47690839631645
lavie/runlike,0,11,470,0,7546,6811,0.0,68.75,96.50924024640656,0.0,74.49160908193485,94.13959917069799
stencila/hub,33,1112,16597,340083,387701,288498,86.8421052631579,97.37302977232925,99.10431719113872,84.64935097260768,96.50184814128013,98.86332093963641
cogu/autosar,0,0,29,0,0,192,0.0,0.0,52.72727272727272,0.0,0.0,54.08450704225351
globus/globus-cli,7,328,4798,40488,77676,66952,50.0,81.79551122194513,94.3559488692232,36.44645284411598,69.92231454059358,91.30606734217956
globus/globus-sdk-python,4,163,3492,23847,59534,47111,40.0,85.34031413612566,95.9868059373282,31.907463405496532,79.65693489255801,93.98890750937674
open-craft/problem-builder,11,1243,15849,48858,256356,197825,47.82608695652174,93.66993217784476,97.44236089763295,16.315858020176925,85.60866385485438,96.23383130560839
craffel/mir_eval,2,870,11904,41302,365074,295327,50.0,94.36008676789588,97.21518987341771,9.555008039236098,84.45801667996899,94.7782078190489
francescoceruti/linux-show-player,3,63,1764,19660,23414,21685,50.0,84.0,96.39344262295081,62.60548355252683,74.5597554373786,94.45509190696055
becksteinlab/gromacswrapper,8,1232,20164,129944,566940,429305,53.333333333333336,93.97406559877956,97.76010860079512,18.914729133521302,82.52413758971993,95.53422212727511
storaged-project/blivet,0,15,219,0,1464,2466,0.0,60.0,85.546875,0.0,25.77011089596902,80.5355976485957
junzis/pymodes,0,295,4255,0,114779,101460,0.0,93.65079365079364,97.97375086345845,0.0,78.55602932017439,96.32491858996876
pexpect/pexpect,0,2,32,0,75,520,0.0,50.0,80.0,0.0,7.537688442211055,61.24852767962309
scipopt/pyscipopt,1,3,1,198,198,19,100.0,100.0,100.0,100.0,100.0,100.0
micropyramid/django-mfa,15,993,12846,165784,274464,154859,83.33333333333334,90.68493150684932,97.17095310136156,52.10629704712964,86.2646739899109,95.97766332608198
micropyramid/forex-python,3,70,922,16103,29249,23234,50.0,85.36585365853658,97.56613756613757,46.328902698659306,84.15041141607688,97.73272199554116
sethblack/python-seo-analyzer,4,119,2357,14404,50090,41288,40.0,82.06896551724138,94.62063428342032,22.034909513683857,76.62653551377564,91.57203690560681
loris-imageserver/loris,3,271,3999,138364,138364,101424,100.0,100.0,100.0,100.0,100.0,100.0
python-beaver/python-beaver,1,376,5033,116199,116199,88271,100.0,100.0,100.0,100.0,100.0,100.0
opennetworkingfoundation/tapi,9,82,1156,39921,39921,27163,100.0,100.0,100.0,100.0,100.0,100.0
ics-py/ics-py,2,52,903,1696,7696,11879,33.33333333333333,65.0,91.12008072653886,8.378618713565853,38.0199585021243,84.63840399002494
axiros/terminal_markdown_viewer,1,323,1380,413,117934,18160,25.0,93.35260115606935,95.36973047684866,0.3274010067779143,93.49082405168654,95.25308156307369
polyaxon/polyaxon,35,2162,22129,714645,714645,402549,100.0,100.0,100.0,100.0,100.0,100.0
mdanalysis/griddataformats,0,683,10327,0,361987,284750,0.0,96.0618846694796,98.95553852050594,0.0,91.85109438673237,98.2981220657277
pytroll/satpy,17,1436,28047,56635,556735,607440,39.53488372093023,80.31319910514542,90.48586914440573,6.04436769734511,59.41751655304016,86.29291632098737
pytroll/pyresample,3,336,6193,1536,123592,127169,27.27272727272727,82.55528255528255,94.82468228448936,0.7877286643998954,63.383438209968666,89.71421315141554
renanivo/pytest-testdox,5,91,1983,7635,34629,25827,83.33333333333334,97.84946236559139,99.29894842263394,20.699471329808866,93.88369255795038,99.3155162468756
docnow/twarc,2,177,2274,4727,45702,45584,13.333333333333334,75.64102564102564,88.27639751552795,6.3186739740676385,61.09076326694293,86.27450980392157
gns3/gns3-gui,4,229,3990,21075,67207,54495,44.44444444444444,91.96787148594377,95.29496059230954,25.263120040277144,80.56268130708926,95.24933144565047
gns3/gns3-server,7,325,6622,23837,103235,91389,29.166666666666668,84.4155844155844,94.30361720307604,16.671445856442464,72.20190095187472,92.42601994376909
snowflakedb/snowflake-connector-python,1,428,7747,576,137824,118292,5.555555555555555,81.36882129277566,94.95036156391716,0.2934732766087533,70.22163346410557,92.44451391059705
snowflakedb/snowflake-ingest-python,16,639,10000,195990,224602,155022,69.56521739130434,95.51569506726457,98.86307464162135,82.20746699998742,94.20869178596446,98.83455530761874
snowflakedb/snowflake-sqlalchemy,20,875,18707,233947,389731,279619,95.23809523809523,98.4251968503937,99.75470591372047,55.7357716507482,92.8499105404974,99.49296195613499
scitools/iris-grib,27,1851,32808,349277,868838,660079,65.85365853658537,93.67408906882592,97.3791220207177,34.49714118092093,85.81277080755095,95.68650474388804
scitools/cf-units,2,310,5253,543,149658,113596,40.0,95.67901234567901,98.38921146282075,0.33842740327084164,93.27507977662545,98.66845017328389
scitools/cartopy,10,816,14160,129674,343256,254236,58.82352941176471,89.37568455640745,96.1564579655032,28.72471684864112,76.0363018538578,91.82438094137363
tencent/qtaf,1,5,153,998,2113,2314,50.0,71.42857142857143,61.693548387096776,14.866676597646359,31.476240131088932,50.09742368478025
altair-viz/altair,8,486,10237,16105,178607,219619,53.333333333333336,80.19801980198021,91.13326804949702,4.743181952052778,52.60263886434588,86.05422984992751
faforever/client,25,515,8449,88976,159891,127568,60.97560975609756,89.25476603119584,96.38375541866301,45.20357255352226,81.23139295040491,95.34087681798479
dschep/ntfy,4,93,1677,30648,42781,33381,57.14285714285714,90.29126213592234,98.53113983548766,64.02740927987966,89.3747258027451,98.08709449929478
akretion/roulier,5,484,4993,17130,150779,80819,35.714285714285715,94.90196078431372,97.27255016559518,10.05252193304187,88.48273231419266,96.97271483765688
asyncee/django-easy-select2,2,825,8680,6933,122457,102470,50.0,91.56492785793563,96.82097044060234,4.391309855586521,77.5633392449962,95.19872164105612
irods/python-irodsclient,1,16,220,1050,7179,1826,25.0,80.0,82.08955223880598,9.418729817007534,64.39720129171151,56.97347893915756
sec-edgar/sec-edgar,7,237,3621,57086,100662,56083,43.75,87.77777777777777,95.56611243072051,46.20776739894125,81.47998251606741,93.03903515320427
ckan/ckanext-harvest,5,129,2549,17348,53486,44116,55.55555555555556,90.84507042253522,98.68370112272551,27.858874917698444,85.8923094217212,98.12932357586138
basement-renovator/basement-renovator,8,122,2315,35269,39736,33826,80.0,92.42424242424242,97.6381273724167,70.39018062069654,79.30545853707216,98.36284858530344
mandiant/flare-floss,18,1516,16608,190629,450524,252482,64.28571428571429,94.45482866043614,97.1000935453695,37.54416578367924,88.73019186758734,95.2539405874852
stamparm/maltrail,1,1,1,72,72,2,100.0,100.0,100.0,100.0,100.0,100.0
timotheus/ebaysdk-python,3,94,1237,7191,34551,28948,42.857142857142854,82.45614035087719,91.49408284023669,17.00482406356413,81.70402951191828,92.25278052200517
praw-dev/praw,3,79,1058,16103,30214,24514,37.5,81.44329896907216,95.74660633484163,43.17968519561312,81.01788539404178,96.68309998028002
fdemmer/django-weasyprint,8,1366,17152,151467,330431,224335,44.44444444444444,95.19163763066202,96.44082091650267,41.29315256713985,90.08257703600512,92.5489694549415
mitgcm/xmitgcm,10,625,15545,27997,218460,320377,52.63157894736842,72.25433526011561,87.8298208938358,5.530293453011172,43.15276307264424,81.70485699348406
kubernetes-client/python,6,460,4689,60201,123829,77086,35.294117647058826,88.97485493230174,94.06218655967903,41.03485177939703,84.40565208204107,92.12658651432942
corydolphin/flask-cors,7,135,2968,28731,54722,41338,77.77777777777779,96.42857142857143,99.46380697050938,47.574182010862366,90.61133925023182,99.41559847045525
geex-arts/django-jet,2,807,8576,6933,113653,100642,50.0,89.56714761376249,95.66090351366425,4.391309855586521,71.98695211553078,93.50043664876716
ewels/multiqc,16,1862,22837,257659,680050,445037,47.05882352941176,92.49875807252856,97.32782134333448,31.92029187494967,84.24853969610812,95.86583345719461
spatialaudio/nbsphinx,38,1206,15867,287691,404003,220849,77.55102040816327,93.92523364485982,98.05339265850945,64.84229553865642,91.05770401056623,97.29888095867477
spatialaudio/python-sounddevice,0,24,1162,0,11945,13728,0.0,68.57142857142857,89.72972972972974,0.0,54.28311747330152,85.07684680218146
triqs/dft_tools,2,694,10733,8888,349901,284093,50.0,94.93844049247606,98.3956729006234,2.2228835962295013,87.51003523900751,96.69572261496727
modlinltd/django-advanced-filters,0,5,42,0,273,688,0.0,55.55555555555556,66.66666666666666,0.0,13.356164383561644,43.37957124842371
flammie/omorfi,0,5,1024,0,1830,4763,0.0,83.33333333333334,99.7078870496592,0.0,25.462640879365523,99.47786131996659
oauthlib/oauthlib,2,113,2640,19120,33656,26190,40.0,88.28125,97.63313609467455,46.87538306896467,82.51244207997253,95.7061940434862
asana/python-asana,13,262,3755,74032,86007,63612,86.66666666666667,96.6789667896679,99.60212201591511,81.67426056066105,94.88542965259315,99.55864400413185
ab-ce/abce,21,1375,31008,555056,763296,524252,91.30434782608695,99.27797833935018,99.89690721649484,70.88602421886374,97.48028801087065,99.76611904141159
django-wiki/django-wiki,11,1045,11518,47750,163390,140985,61.111111111111114,87.59430008382229,94.47953408251989,20.78119899902078,71.1086932869111,91.31093710532963
chyroc/wechatsogou,9,467,5949,37477,127632,99924,60.0,92.84294234592446,97.99044638445066,24.118336036244756,82.13761680438644,98.10031514151916
keeper-security/commander,17,953,15233,78158,253808,195716,45.94594594594595,87.43119266055047,95.81708390992578,23.816169569615933,77.3399314993357,93.70544328100237
saulpw/visidata,3,28,541,9028,9561,7342,75.0,93.33333333333333,98.72262773722628,85.0815191782113,90.10460842521911,99.20281043102284
lukasschwab/arxiv.py,37,1349,15419,485226,488925,230972,97.36842105263158,99.48377581120944,99.91575946086056,98.8141712945144,99.5674566082,99.69225456978225
jazzband/pip-tools,3,562,8008,37416,198733,120052,37.5,90.64516129032259,96.34263715110684,16.393198417462244,87.07156032439394,95.46347320626288
jazzband/prettytable,0,3,0,0,5983,0,0.0,60.0,0.0,0.0,93.51359799937481,0.0
jazzband/django-auditlog,2,813,8861,6933,114418,104995,33.33333333333333,88.3695652173913,94.98338514310215,4.164114022126923,68.72199598784341,92.18092905242273
jazzband/django-silk,1,776,8892,3072,103564,105638,12.5,85.46255506607929,93.4720908230842,1.8117907947816652,61.079525348557404,90.05182937225082
jazzband/django-oauth-toolkit,9,1015,12762,44640,181530,159563,56.25,87.1244635193133,95.68151147098516,17.838660821681326,72.54148967203878,93.80375419598714
jazzband/django-redshift-backend,3,884,8927,8670,148950,107051,75.0,98.11320754716981,99.57612939208032,5.4915125411705095,94.34380542183936,99.45465356101005
jazzband/django-push-notifications,2,879,8904,6933,140834,106812,50.0,97.55826859045506,99.31957612939209,4.391309855586521,89.20319229794781,99.23261301770751
jazzband/django-user-sessions,2,801,8569,6933,114507,100576,50.0,88.90122086570477,95.58282208588957,4.391309855586521,72.52786926779832,93.43912001337817
jazzband/django-payments,6,1431,9714,37403,162721,128289,60.0,93.46832135858915,96.30217111133142,18.24883758373544,79.39120125292128,94.93395493395494
bitmessage/pybitmessage,3,271,4106,80956,85191,54317,75.0,99.63235294117648,100.0,94.50741877867408,99.45132557406521,99.98159294641707
poliastro/poliastro,26,4746,65014,245761,1683079,1397530,57.77777777777777,94.14798651061297,96.78014796731024,11.804099621661319,80.83964578239066,94.57653293595124
coin-or/pulp,1,29,432,9673,9673,7449,100.0,100.0,100.0,100.0,100.0,100.0
facelessuser/pymdown-extensions,1,48,829,414,10019,9720,25.0,77.41935483870968,92.72930648769575,2.7317716925107227,66.1101946552293,92.7392424386986
pypa/readme_renderer,2,428,3707,1525,150377,40000,33.33333333333333,88.98128898128898,91.66666666666666,0.8507670850767085,83.8923291492329,84.2158452112765
pypa/setuptools_scm,1,88,1800,27538,31238,23467,20.0,80.0,93.45794392523365,71.89515181578466,81.55496958462784,91.83298113798232
pypa/auditwheel,0,36,677,0,8600,6748,0.0,67.9245283018868,80.2132701421801,0.0,56.22752533507682,80.45785143674735
pseudonym117/riot-watcher,4,151,1069,19376,31368,23930,66.66666666666666,93.7888198757764,98.43462246777163,53.841665045710954,87.16480951454692,98.55036652664525
release-engineering/kobo,0,0,58,0,0,349,0.0,0.0,95.08196721311475,0.0,0.0,96.14325068870524
martyzz1/heroku3.py,36,1252,14011,339263,384554,183969,87.8048780487805,98.97233201581027,99.65149359886202,86.540943712917,98.0940039691245,99.33209507251385
pytrip/pytrip,9,1009,16217,56870,602808,385028,64.28571428571429,93.08118081180811,97.76344345309863,8.172479996321162,86.62627609675343,95.86204836075369
pytrip/pytripgui,12,1201,21806,354040,626468,464292,60.0,89.49329359165425,94.84168406402227,45.78140941671505,81.00945654296306,94.16923576180432
theochem/horton,1,6,28,440,440,321,100.0,100.0,100.0,100.0,100.0,100.0
bbn-q/auspex,42,3498,61205,550066,1382222,1131275,62.68656716417911,88.8268156424581,94.63032252079533,28.395105064769204,71.35205395868027,90.21144697159389
bbn-q/qgl,38,2789,47129,445951,1205238,907290,76.0,95.22021167634006,98.2570624413635,31.754387713831623,85.82017921126535,97.40243009556772
open2c/bioframe,15,1048,19247,185704,455996,371184,71.42857142857143,88.96434634974533,94.64961888369807,29.709027382270314,72.95048922051079,90.66912890862591
astropy/astroquery,13,915,16553,63097,294813,307349,50.0,82.5812274368231,92.55759337955715,12.791859854559167,59.768397535574614,87.34036567414421
astropy/specutils,13,1361,20632,24053,477510,466560,59.09090909090909,90.0132275132275,95.58046882238487,3.489320095396703,69.2714105829992,92.41648426744842
astropy/photutils,2,628,10632,9986,187459,235229,40.0,83.28912466843501,92.55680334290938,2.710081524983988,50.87414105667669,87.30908132625149
getnikola/nikola,5,986,9210,18335,301178,129960,19.230769230769234,88.66906474820144,93.15262465864265,4.970478044231426,81.64704861770016,89.97694496562515
containerbuildsystem/atomic-reactor,13,234,2752,40761,66572,51145,72.22222222222221,91.05058365758755,95.35689535689535,53.69294605809129,87.69281433181848,94.45234445696134
garabik/grc,6,44,737,13424,13424,10060,100.0,100.0,100.0,100.0,100.0,100.0
sherpa/sherpa,0,192,3497,0,75209,85678,0.0,80.67226890756302,92.51322751322752,0.0,56.13240288091951,87.22537820943539
networktocode/pyntc,23,1329,15108,169332,276281,200362,65.71428571428571,95.61151079136691,98.23785681773848,54.55828384922463,89.01694434689031,97.69943436707626
networktocode/ntc-templates,1,213,1992,998,31345,25251,33.33333333333333,91.8103448275862,95.8614051973051,2.243755480114211,70.47145844106207,95.32276330690827
maxplanck-ie/snakepipes,43,1144,20390,359221,524263,385699,93.47826086956522,99.13344887348353,99.86286609854051,68.1504458357048,99.46177195977994,99.90623243477067
openslide/openslide-python,0,90,1147,0,26146,20770,0.0,95.74468085106383,98.1180496150556,0.0,84.29842661851947,96.7982476581069
ploxiln/fab-classic,4,107,2551,36927,36927,25307,80.0,99.07407407407408,99.921660791226,97.36849044166117,97.36849044166117,99.9526047632213
jamesphoughton/pysd,12,1165,20953,39888,496169,477762,44.44444444444444,79.46793997271487,89.81525140383214,5.0888131078272645,63.30002283638052,86.87292596667
cherrypy/cheroot,1,3,264,605,1541,4819,50.0,75.0,99.62264150943396,10.197202090005057,25.973369290409575,98.95277207392196
kibitzr/kibitzr,27,1587,31582,106526,593385,460051,56.25,93.35294117647058,98.38629283489097,15.989925053324267,89.06916318801814,97.89964696193616
usnistgov/fipy,8,1417,21780,126879,581767,449026,53.333333333333336,92.61437908496733,97.28860499396971,17.48070810652184,80.15273696204171,95.15056864535897
pyecore/pyecore,0,35,512,0,7767,6240,0.0,92.10526315789474,99.03288201160542,0.0,79.32795424369318,98.1904012588513
ma1co/sony-pmca-re,7,1258,8189,98728,172810,116981,50.0,95.3030303030303,94.6158290005777,47.94413445802557,83.9197175643323,92.83985301937255
django-helpdesk/django-helpdesk,31,1833,23308,203507,377810,290682,64.58333333333334,91.0581222056632,96.76589031427741,44.08692299026872,81.84721102936716,94.86638904481548
behave/behave-django,3,22,619,6945,9990,9078,75.0,88.0,97.32704402515722,49.996400547116835,71.91706860557196,92.99323909035033
phonologicalcorpustools/corpustools,1,437,9029,2551,182202,154407,25.0,94.18103448275862,98.68838124385178,1.1600200081851666,82.85298531217316,97.51179371885796
4dn-dcic/tibanna,7,325,6507,67301,114293,87683,53.84615384615385,90.02770083102493,97.45394638310619,48.79005364651297,82.85703929244599,97.16536829157478
jaraco/inflect,1,58,1444,452,15764,18195,25.0,60.416666666666664,82.09209778283115,1.1131359897552084,38.821848987834315,70.45225741500813
porridge/bambam,0,16,284,0,3530,3831,0.0,64.0,88.75,0.0,46.33762142294566,86.20612061206121
nicolaslm/sauna,0,35,360,0,6024,4696,0.0,94.5945945945946,92.3076923076923,0.0,86.14328614328615,92.58675078864354
cloudfoundry/php-buildpack,1,4,294,7016,7016,3166,100.0,100.0,100.0,100.0,100.0,100.0
holgern/pyedflib,1,227,3797,2597,105338,96787,50.0,92.27642276422763,97.63435330419131,1.901421856467177,77.12436485041952,96.24513986257371
nsacyber/walkoff,40,1476,24303,343386,493933,312325,59.70149253731343,88.22474596533173,96.04030823947836,59.01400995407925,84.8868823383837,94.20716073960125
kivy/buildozer,5,135,1741,23146,26581,20549,71.42857142857143,96.42857142857143,99.08935685828116,80.97820382744987,92.99583668614211,96.79227508243052
kivy/python-for-android,4,63,1648,3549,21833,21005,44.44444444444444,88.73239436619718,96.43066120538326,11.491015055852355,70.69127408126923,92.17975161276166
kivy/kivy-ios,11,432,9225,115396,208893,136366,52.38095238095239,85.37549407114624,97.0031545741325,48.1125388791141,87.09463572458993,96.28871220573075
home-assistant-libs/pychromecast,5,133,2050,33475,49201,36114,50.0,86.9281045751634,96.74374705049551,58.35032857466575,85.76234551761405,97.01284048783108
zqfang/gseapy,11,1447,25188,134698,646376,537487,50.0,88.44743276283619,93.68444543628655,15.271120261574254,73.28160499929709,89.77942957364179
mapbox/rasterio,2,313,6208,11037,137349,129419,20.0,86.70360110803324,96.63760896637609,5.82387487929588,72.4747114973643,94.81870599526708
buildbot/buildbot,15,1166,29878,249766,446780,373429,57.692307692307686,91.23630672926447,97.98635707726618,43.535614993768576,77.8762604474425,95.87714095720781
phylliade/ikpy,1,1477,23393,47859,819736,508571,25.0,96.2214983713355,98.64636923336427,5.363188216428105,91.86147758586492,97.18721932389306
