project,direct_dependencies_bloated_count,direct_dependencies_bloated_loc,direct_dependency_files_bloated_count,direct_dependency_files_bloated_loc,direct_dependency_functions_bloated_count,direct_dependency_functions_bloated_loc,direct_dependencies_used_count,direct_dependencies_used_loc,direct_dependency_files_used_count,direct_dependency_files_used_loc,direct_dependency_functions_used_count,direct_dependency_functions_used_loc,transitive_dependencies_bloated_count,transitive_dependencies_bloated_loc,transitive_dependency_files_bloated_count,transitive_dependency_files_bloated_loc,transitive_dependency_functions_bloated_count,transitive_dependency_functions_bloated_loc,transitive_dependencies_used_count,transitive_dependencies_used_loc,transitive_dependency_files_used_count,transitive_dependency_files_used_loc,transitive_dependency_functions_used_count,transitive_dependency_functions_used_loc
jazzband/django-oauth-toolkit,0,0,831,111934,9028,110465,4,175051,134,63117,549,10003,9,44640,184,69596,3734,49098,3,30552,16,5596,46,537
jazzband/django-redshift-backend,0,0,852,140280,8482,102483,1,149210,17,8930,48,587,3,8670,32,8670,445,4568,0,0,0,0,0,0
jazzband/django-push-notifications,0,0,848,132809,8464,102192,1,149210,21,16401,64,749,2,6933,31,8025,440,4620,1,1737,1,645,5,77
jazzband/django-user-sessions,0,0,771,106602,8130,95944,1,149210,98,42608,394,6976,2,6933,30,7905,439,4632,1,1737,2,765,6,86
jazzband/django-payments,0,0,791,114333,8392,100195,2,154645,96,40312,376,6683,6,37403,640,48388,1322,28094,2,12913,4,1928,9,163
poliastro/poliastro,0,0,3696,1317185,46817,1104574,8,1615445,215,298260,1725,58740,26,245761,1050,365894,18197,292956,11,220791,80,100658,488,21401
pypa/setuptools_scm,1,27538,83,31058,1572,21211,2,4882,3,1362,39,716,0,0,5,180,228,2256,2,5883,19,5703,88,1371
pypa/auditwheel,0,0,36,8600,677,6748,1,15295,17,6695,167,1639,0,0,0,0,0,0,0,0,0,0,0,0
pseudonym117/riot-watcher,0,0,10,1979,222,3651,1,5435,8,3456,15,275,4,19376,141,29389,847,20279,1,11176,2,1163,3,77
release-engineering/kobo,0,0,0,0,58,349,1,998,1,998,3,14,0,0,0,0,0,0,0,0,0,0,0,0
martyzz1/heroku3.py,0,0,27,7982,497,8689,2,13051,9,5069,43,1137,36,339263,1225,376572,13514,175280,3,39712,4,2403,7,100
pytrip/pytrip,0,0,660,471385,10423,262160,3,504052,23,32667,51,1955,9,56870,349,131423,5794,122868,2,134950,52,60397,322,14665
pytrip/pytripgui,1,3131,180,55500,5375,88903,4,142289,89,89920,889,16456,11,350909,1021,570968,16431,375389,4,276998,52,56939,314,12292
bbn-q/auspex,3,18118,1127,487347,20597,472233,13,792058,266,322829,2345,79442,39,531948,2371,894875,40608,659042,12,595062,174,232135,1182,43309
bbn-q/qgl,0,0,470,260681,6777,191690,3,263994,8,3313,16,634,38,445951,2319,944557,40352,715600,9,694431,132,195825,840,23562
open2c/bioframe,0,0,306,162085,7871,156925,3,291575,99,129490,978,32344,15,185704,742,293911,11376,214259,3,147797,31,39590,147,5855
astropy/astroquery,0,0,680,207927,11663,227535,7,379936,178,172009,1291,43222,13,63097,235,86886,4890,79814,6,50226,15,26437,58,1327
astropy/specutils,0,0,1081,419430,16905,405102,5,607917,143,188487,959,37818,13,24053,280,58080,3727,61458,4,57362,8,23335,16,467
astropy/photutils,0,0,593,177402,9838,208756,2,336586,124,159184,860,33875,2,9986,35,10057,794,26473,1,21904,2,21833,8,317
getnikola/nikola,0,0,919,272234,8209,109498,17,336419,120,64185,676,14234,5,18335,67,28944,1001,20462,4,14124,6,3515,14,243
containerbuildsystem/atomic-reactor,1,4647,45,10788,778,10144,3,12602,14,6461,96,2217,12,36114,189,55784,1974,41001,2,22552,9,2882,38,787
sherpa/sherpa,0,0,192,75209,3497,85790,1,133985,46,58776,284,12548,0,0,0,0,0,0,0,0,0,0,0,0
networktocode/pyntc,1,14722,606,68309,4021,49301,6,64343,28,10756,98,1494,22,154610,723,207972,11087,151061,6,76694,33,23332,177,3224
networktocode/ntc-templates,0,0,2,511,127,1776,1,3177,4,2666,37,634,1,998,211,30834,1865,23475,1,40304,15,10468,51,605
maxplanck-ie/snakepipes,1,35510,319,196945,7509,156956,2,161956,4,521,19,196,42,323711,825,327318,12881,228743,1,5923,6,2316,9,166
openslide/openslide-python,0,0,90,26146,1147,20770,1,31016,4,4870,22,687,0,0,0,0,0,0,0,0,0,0,0,0
ploxiln/fab-classic,0,0,0,0,59,351,1,998,1,998,2,12,4,36927,107,36927,2492,24956,0,0,0,0,0,0
jamesphoughton/pysd,1,9121,1046,453233,18961,449157,11,725159,295,281047,2174,68812,11,30767,119,42936,1992,28605,4,18790,6,6621,240,3381
cherrypy/cheroot,1,605,1,605,46,539,0,0,0,0,0,0,0,0,2,936,218,4280,1,5328,1,4392,1,51
kibitzr/kibitzr,4,2399,1181,461253,24418,360420,13,510815,62,51961,242,4064,23,104127,406,132132,7164,99631,8,48866,51,20861,277,5806
usnistgov/fipy,0,0,970,418702,14786,343801,4,556249,108,137547,591,22199,8,126879,447,163065,6994,105225,3,42695,5,6509,21,686
pyecore/pyecore,0,0,35,7767,512,6240,3,9791,3,2024,5,115,0,0,0,0,0,0,0,0,0,0,0,0
django-helpdesk/django-helpdesk,4,47647,1186,199384,14796,174100,11,225439,155,73702,678,12563,27,155860,647,178426,8512,116582,6,32658,25,10092,137,3167
behave/behave-django,0,0,7,3045,286,4502,1,6946,3,3901,17,684,3,6945,15,6945,333,4576,0,0,0,0,0,0
phonologicalcorpustools/corpustools,0,0,219,100175,3705,95100,1,133985,19,33810,75,3126,1,2551,218,82027,5324,59307,2,83374,8,3898,45,814
4dn-dcic/tibanna,1,5435,50,11627,621,10370,2,9139,10,2947,21,429,6,61866,275,102666,5886,77313,4,61500,26,20700,151,2129
jaraco/inflect,0,0,55,15217,1392,17446,2,36186,37,20969,268,5703,1,452,3,547,52,749,1,3968,1,3873,49,1928
nicolaslm/sauna,0,0,35,6024,360,4696,2,6993,2,969,30,376,0,0,0,0,0,0,0,0,0,0,0,0
kivy/buildozer,2,10479,104,13839,971,10447,1,4442,3,1082,8,352,3,12667,31,12742,770,10102,1,995,2,920,8,329
kivy/python-for-android,1,882,46,19166,1498,19190,5,27336,8,9052,61,1782,3,2667,17,2667,150,1815,0,0,0,0,0,0
kivy/kivy-ios,1,78783,247,107444,6193,83466,3,36101,20,7440,71,1928,10,36613,185,101449,3032,52900,7,88349,54,23513,214,3328
home-assistant-libs/pychromecast,1,17125,64,20482,1157,14022,2,6752,9,3395,46,656,4,16350,69,28719,893,22092,3,17142,11,4773,23,456
zqfang/gseapy,0,0,928,458357,17530,418216,5,682528,173,224171,1650,58882,11,134698,519,188019,7658,119271,6,64818,16,11497,85,2306
phylliade/ikpy,0,0,1424,771877,22033,477410,3,844502,58,72625,325,14719,1,47859,53,47859,1360,31161,0,0,0,0,0,0
graphql-python/graphene,0,0,118,17474,960,16618,3,31623,47,14149,202,4316,0,0,0,0,0,0,0,0,0,0,0,0
graphql-python/graphene-django,0,0,872,130536,8683,103866,4,156336,68,25800,266,3689,3,14227,167,29105,1551,23744,3,26088,18,11210,74,1514
graphql-python/graphene-sqlalchemy,0,0,229,134856,8963,125502,2,187632,25,52776,111,2775,7,37229,498,45713,3059,31692,1,9519,13,1035,18,265
graphql-python/gql,0,0,10,660,114,1675,2,2276,3,1616,7,317,1,780,103,20746,922,17838,2,32655,35,12689,201,3588
fbpic/fbpic,0,0,969,474003,20417,390400,5,555078,77,81075,478,17837,1,998,26,6155,840,4868,1,7755,3,2598,7,55
burnash/gspread,1,16090,65,16561,572,11288,1,966,1,495,3,138,12,86910,346,86910,2311,41786,0,0,0,0,0,0
sosreport/sos,0,0,28,8368,554,7659,2,10365,5,1997,18,475,21,303092,871,303167,7206,160549,1,995,2,920,8,329
dmnfarrell/pandastable,1,9121,471,168631,9522,168574,4,330191,159,170681,1523,49492,7,17234,662,240343,10530,186501,7,288988,56,65879,347,15261
landlab/landlab,3,6352,1151,576828,18491,456365,6,683984,88,113508,599,15844,23,325432,1374,484144,19598,349857,8,352332,159,193620,1498,57555
vispy/vispy,1,40,236,81879,3773,87429,4,145199,50,63360,367,15293,0,0,0,0,0,0,0,0,0,0,0,0
althonos/instalooter,1,4374,143,26455,1954,26952,7,36172,26,14091,121,2159,4,16711,134,59880,2378,42519,4,46943,7,3774,17,353
althonos/pronto,0,0,304,134065,2438,93428,3,150720,37,16655,130,3263,0,0,0,0,60,361,1,998,1,998,1,2
yashaka/selene,1,40304,516,168274,9041,95415,2,130797,30,2827,74,724,19,94035,319,97534,4204,67907,1,4063,1,564,5,151
wechatpy/wechatpy,0,0,23,6180,466,7908,4,13635,15,7455,96,2391,3,5725,47,25395,669,17839,2,22552,9,2882,38,787
pipitone/qbatch,0,0,224,39489,1852,23641,1,40304,1,815,1,76,0,0,0,0,0,0,0,0,0,0,0,0
igmhub/picca,0,0,1263,482613,25123,448651,11,660689,157,178076,876,32164,11,141019,1060,406719,17510,312949,6,389867,79,124167,575,19080
liqd/a4-opin,0,0,757,72450,4658,51751,1,84821,22,12371,37,430,53,450456,2560,536166,25522,335663,22,121672,72,35962,332,7795
liqd/adhocracy4,4,36935,1690,160953,13290,154561,14,230579,220,106561,1376,26091,24,228567,670,230678,10442,152698,3,5483,6,3372,23,437
snare/voltron,1,278,312,112797,1543,22669,5,136916,47,24397,191,4493,12,52231,220,95179,4063,68167,7,54313,24,11365,73,1326
fresna/powerplantmatching,3,87339,1600,601570,20064,517943,12,714648,179,200417,1495,53238,14,148407,758,323380,12762,202141,10,218013,32,43040,121,3596
vmware/pyvmomi,0,0,0,0,56,327,1,998,1,998,5,36,0,0,0,0,0,0,0,0,0,0,0,0
nsqio/pynsq,0,0,22,14461,960,14475,1,23554,12,9093,103,2213,0,0,0,0,0,0,0,0,0,0,0,0
libensemble/libensemble,0,0,364,139166,7206,136253,6,211560,65,72394,383,14081,1,452,3,547,249,3767,2,7040,2,6945,14,523
gwpy/gwpy,1,631,1019,413797,16335,363839,8,598369,148,185203,976,34612,17,218910,908,325999,15941,274020,11,217253,88,110164,587,25519
mhvk/baseband,0,0,430,139308,6574,133527,1,202601,49,63293,333,9892,2,9986,231,92574,4347,116246,2,155889,44,73301,238,9756
natlibfi/skosify,0,0,111,33056,1642,21733,1,41062,7,8006,70,1378,3,14709,29,14709,678,8969,0,0,0,0,0,0
meejah/txtorcon,0,0,395,104303,10477,110595,2,183383,110,79080,441,7958,9,71693,350,120147,5145,70113,7,57353,10,8899,54,847
bigchaindb/bigchaindb,1,6721,74,14716,709,7966,2,10303,5,2308,22,484,18,101513,463,172843,9590,137915,11,108990,57,37660,209,4090
ktbyers/netmiko,1,74,71,21690,1721,24907,5,38649,30,17033,175,3534,6,44356,360,83436,4585,53100,1,40304,3,1224,3,6
openpathsampling/openpathsampling,1,987,1294,527778,19355,469820,8,729125,178,202334,1444,44997,11,131310,689,236155,10827,186489,7,182052,65,77207,428,20464
pagarme/pagarme-python,0,0,12,2277,225,3722,1,5435,6,3158,11,202,7,27611,88,37624,1144,26474,1,11176,2,1163,3,77
quatrope/astroalign,0,0,814,347652,10913,312797,3,442788,64,95136,411,19327,5,139910,453,186466,4740,142710,2,63788,9,17232,35,1576
clarkperkins/click-shell,0,0,9,4331,444,6411,1,10130,7,5799,43,824,0,0,0,0,0,0,0,0,0,0,0,0
wkentaro/labelme,1,2840,108,9680,285,5054,3,9685,12,2845,50,1235,11,143263,866,381790,14432,259631,4,295916,37,57389,150,6609
approvals/approvaltests.python,3,59729,135,63676,3292,45939,4,8564,8,4617,43,1053,27,305763,832,317896,11733,226095,3,17609,10,5476,17,339
chrismattmann/tika-python,1,5435,84,31604,1585,21969,1,27538,2,1369,31,472,13,79929,193,79929,3380,55497,0,0,0,0,0,0
moepman/acertmgr,0,0,52,7894,1226,10256,1,17639,20,9745,72,856,2,19120,33,19120,1197,13775,0,0,0,0,0,0
cinpla/exdir,2,15543,257,124633,4611,108509,1,133985,11,24895,31,1452,0,0,0,0,0,0,0,0,0,0,0,0
pylons/deformdemo,3,17535,372,138500,3094,41928,3,149080,58,28115,222,6471,8,14423,172,52059,3665,41339,7,54805,15,17169,98,1638
icloud-photos-downloader/icloud_photos_downloader,4,12629,324,46802,3235,43214,7,65688,50,31515,343,6360,14,53187,226,72994,4044,51660,4,25228,15,5421,58,996
